Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,
1,"5/24/22, 11:06:00 AM",1 ft,0:00:01,0.5 mph,18 ft,313° true,N18° 21.534' W65° 01.984',
2,"5/24/22, 11:06:01 AM",1 ft,0:00:01,0.9 mph,19 ft,301° true,N18° 21.534' W65° 01.984',
3,"5/24/22, 11:06:02 AM",1 ft,0:00:01,0.9 mph,18 ft,313° true,N18° 21.534' W65° 01.984',
4,"5/24/22, 11:06:03 AM",1 ft,0:00:01,0.5 mph,19 ft,288° true,N18° 21.534' W65° 01.984',
5,"5/24/22, 11:06:04 AM",0 ft,0:00:01,0.2 mph,19 ft,114° true,N18° 21.534' W65° 01.984',
6,"5/24/22, 11:06:05 AM",1 ft,0:00:01,1.0 mph,19 ft,121° true,N18° 21.534' W65° 01.984',
7,"5/24/22, 11:06:06 AM",2 ft,0:00:01,1.2 mph,19 ft,141° true,N18° 21.534' W65° 01.984',
8,"5/24/22, 11:06:07 AM",1 ft,0:00:01,0.5 mph,19 ft,304° true,N18° 21.534' W65° 01.984',
9,"5/24/22, 11:06:08 AM",1 ft,0:00:01,0.5 mph,19 ft,288° true,N18° 21.534' W65° 01.984',
10,"5/24/22, 11:06:09 AM",1 ft,0:00:01,0.6 mph,19 ft,288° true,N18° 21.534' W65° 01.984',
11,"5/24/22, 11:06:10 AM",0 ft,0:00:01,0.2 mph,19 ft,229° true,N18° 21.534' W65° 01.984',
12,"5/24/22, 11:06:11 AM",0 ft,0:00:01,0.2 mph,19 ft,90° true,N18° 21.534' W65° 01.984',
13,"5/24/22, 11:06:12 AM",0 ft,0:00:01,0.2 mph,19 ft,270° true,N18° 21.534' W65° 01.984',
14,"5/24/22, 11:06:13 AM",1 ft,0:00:01,0.4 mph,19 ft,354° true,N18° 21.534' W65° 01.984',
15,"5/24/22, 11:06:14 AM",1 ft,0:00:01,0.6 mph,19 ft,117° true,N18° 21.534' W65° 01.984',
16,"5/24/22, 11:06:15 AM",1 ft,0:00:01,0.8 mph,19 ft,118° true,N18° 21.534' W65° 01.984',
17,"5/24/22, 11:06:16 AM",1 ft,0:00:01,0.3 mph,19 ft,256° true,N18° 21.534' W65° 01.984',
18,"5/24/22, 11:06:17 AM",1 ft,0:00:01,0.5 mph,21 ft,310° true,N18° 21.534' W65° 01.984',
19,"5/24/22, 11:06:18 AM",1 ft,0:00:01,0.5 mph,21 ft,277° true,N18° 21.534' W65° 01.984',
20,"5/24/22, 11:06:19 AM",1 ft,0:00:01,0.9 mph,19 ft,315° true,N18° 21.534' W65° 01.984',
21,"5/24/22, 11:06:20 AM",1 ft,0:00:01,0.7 mph,19 ft,327° true,N18° 21.534' W65° 01.984',
