"","Date","VialID","Tag..","Bag..","hours","minutes","Species","Collector","Location","GPS.time.point..UTC.","Latitude","Longitude","Preservation","Notes","DNA.extract.date","DNA.extract.gel","DNA.extract.person","Quality","Date_f","hours_u","time.ns","lat","lon"
"1","6/3/2021","STX_001","G2458","63",11,"47","OFRA","Ewen","BUIS1","15:47","17.7848116","-64.612039","DMSO","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,15,"2021-06-03T15:47",NA,NA
"2","6/3/2021","STX_002","G2459","45",12,"21","OFRA","Ewen","BUIS1","16:21","17.78483857","-64.61198023","DMSO","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,16,"2021-06-03T16:21",NA,NA
"3","6/3/2021","STX_003","G2412","46",12,"15","OANN","Sotka","BUIS1","16:15","17.78484075","-64.61200336","DMSO","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,16,"2021-06-03T16:15",NA,NA
"4","6/3/2021","STX_004","G2412","46",12,"15","OANN","Sotka","BUIS1","16:15","17.78484075","-64.61200336","Ethanol","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,16,"2021-06-03T16:15",NA,NA
"5","6/3/2021","STX_005","G2500","61",11,"51","PAST","Ewen","BUIS1","15:51","17.78480521","-64.61202884","DMSO","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,15,"2021-06-03T15:51",NA,NA
"6","6/3/2021","STX_006","G2456","49",12,"05","OANN","Ewen","BUIS1","16:05","17.78482173","-64.6121337","DMSO","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,16,"2021-06-03T16:05",NA,NA
"7","6/3/2021","STX_007","G2457","54",12,"05","PAST","Ewen","BUIS1","16:05","17.78482173","-64.6121337","DMSO","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,16,"2021-06-03T16:05",NA,NA
"8","6/3/2021","STX_008","G2422","47",12,"25","OANN","Sotka","BUIS1","16:25","17.78483086","-64.61200939","DMSO","","7/26/21","7.26.21.STX001-008","HANNAH","good",2021-06-03,16,"2021-06-03T16:25",NA,NA
"9","6/3/2021","STX_009","G2421","51",12,"19","OANN","Sotka","BUIS1","16:19","17.78485274","-64.61196296","DMSO","","7/27/21","7.27.21.STX009-016","HANNAH","good",2021-06-03,16,"2021-06-03T16:19",NA,NA
"10","6/3/2021","STX_010","G2411","48",12,"10","OANN","Sotka","BUIS1","16:10","17.78482332","-64.61214225","DMSO","","7/27/21","7.27.21.STX009-016","HANNAH","good",2021-06-03,16,"2021-06-03T16:10",NA,NA
