"","Date","VialID","Tag..","Time","Latitude","Longitude","lat","lon"
"1","5/7/2022","SAP_001","323","13:35",18.33555,-64.8488,NA,NA
"2","5/7/2022","SAP_002","323","13:39",18.33556,-64.8488,NA,NA
"3","5/7/2022","SAP_003","G2810","13:39",18.33556,-64.8488,NA,NA
"4","5/7/2022","SAP_004","370","13:43",18.33562,-64.8488,NA,NA
"5","5/7/2022","SAP_005","G2807","13:48",18.33562,-64.8487,NA,NA
"6","5/7/2022","SAP_006","336","13:49",18.33563,-64.8487,NA,NA
"7","5/7/2022","SAP_007","G2808","13:51",18.33563,-64.8487,NA,NA
"8","5/7/2022","SAP_008","G2809","13:54",18.33563,-64.8486,NA,NA
"9","5/7/2022","SAP_009","G2806","13:54",18.33563,-64.8486,NA,NA
"10","5/7/2022","SAP_010","G2816","13:56",18.33563,-64.8486,NA,NA
"11","5/7/2022","SAP_011","G2817","13:56",18.33563,-64.8486,NA,NA
"12","5/7/2022","SAP_012","G2806","13:57",18.33563,-64.8486,NA,NA
"13","5/7/2022","SAP_013","357","14:04",18.33563,-64.8484,NA,NA
"14","5/7/2022","SAP_014","303","14:07",18.33563,-64.8484,NA,NA
"15","5/7/2022","SAP_015","G2818","14:07",18.33563,-64.8484,NA,NA
"16","5/7/2022","SAP_016","G2819","14:12",18.33576,-64.8484,NA,NA
"17","5/7/2022","SAP_017","307","14:13",18.33576,-64.8484,NA,NA
"18","5/7/2022","SAP_018","G2820","14:16",18.33578,-64.8483,NA,NA
"19","5/7/2022","SAP_019","390","14:19",18.33571,-64.8483,NA,NA
"20","5/7/2022","SAP_020","G2826","14:20",18.33572,-64.8483,NA,NA
"21","5/7/2022","SAP_021","G2830","14:25",18.33574,-64.8482,NA,NA
"22","5/7/2022","SAP_022","342","14:28",18.33574,-64.8482,NA,NA
"23","5/7/2022","SAP_023","G2827","14:30",18.33573,-64.8482,NA,NA
"24","5/7/2022","SAP_024","342","14:34",18.33573,-64.8483,NA,NA
"25","5/7/2022","SAP_025","342","14:31",18.33573,-64.8482,NA,NA
"26","5/10/2022","SAP_026","G2030","13:47",18.33571,-64.848,NA,NA
"27","5/10/2022","SAP_027","G2030","13:50",18.33573,-64.848,NA,NA
"28","5/10/2022","SAP_028","G2036","13:58",18.33571,-64.8478,NA,NA
"29","5/10/2022","SAP_029","G2026","14:03",18.33565,-64.8477,NA,NA
"30","5/10/2022","SAP_030","G2027","14:10",18.33551,-64.8477,NA,NA
"31","5/10/2022","SAP_031","G2028","14:14",18.33541,-64.8477,NA,NA
"32","5/10/2022","SAP_032","G2029","14:20",18.33543,-64.8476,NA,NA
"33","5/10/2022","SAP_033","G2029","14:23",18.33533,-64.8478,NA,NA
"34","5/10/2022","SAP_034","G2849","14:32",18.33525,-64.8477,NA,NA
"35","5/10/2022","SAP_035","G2849","14:29",18.33524,-64.8477,NA,NA
"36","5/10/2022","SAP_036","G2850","14:45",18.33511,-64.8469,NA,NA
"37","5/10/2022","SAP_037","G2042","14:50",18.33529,-64.8469,NA,NA
"38","5/10/2022","SAP_038","G2042","14:53",18.33522,-64.847,NA,NA
"39","5/10/2022","SAP_039","G2035","15:01",18.33522,-64.8473,NA,NA
"40","5/10/2022","SAP_040","G2041","13:47",18.33571,-64.848,NA,NA
"41","5/10/2022","SAP_041","G2041","13:47",18.33571,-64.848,NA,NA
"42","5/10/2022","SAP_042","G2848","13:53",18.33567,-64.8479,NA,NA
"43","5/10/2022","SAP_043","G2846","13:57",18.33571,-64.8478,NA,NA
"44","5/10/2022","SAP_044","G2847","14:01",18.33563,-64.8477,NA,NA
"45","5/10/2022","SAP_045","G2840","14:06",18.33554,-64.8478,NA,NA
"46","5/10/2022","SAP_046","G2839","14:10",18.33551,-64.8477,NA,NA
"47","5/10/2022","SAP_047","G2838","14:15",18.33542,-64.8476,NA,NA
"48","5/10/2022","SAP_048","G2838","14:15",18.33542,-64.8476,NA,NA
"49","5/10/2022","SAP_049","G2838","14:15",18.33542,-64.8476,NA,NA
"50","5/10/2022","SAP_050","G2829","14:23",18.33533,-64.8478,NA,NA
"51","5/10/2022","SAP_051","G2837","14:26",18.3353,-64.8478,NA,NA
"52","5/10/2022","SAP_052","G2836","14:46",18.33511,-64.8469,NA,NA
"53","5/10/2022","SAP_053","G2801","14:52",18.33522,-64.847,NA,NA
"54","5/10/2022","SAP_054","G2495","14:58",18.33524,-64.8471,NA,NA
"55","5/10/2022","SAP_055","348","13:48",18.33573,-64.848,NA,NA
"56","5/10/2022","SAP_056","348","13:48",18.33573,-64.848,NA,NA
"57","5/10/2022","SAP_057","476","13:57",18.33571,-64.8478,NA,NA
"58","5/10/2022","SAP_058","476","13:57",18.33571,-64.8478,NA,NA
"59","5/10/2022","SAP_059","425","14:02",18.33564,-64.8477,NA,NA
"60","5/10/2022","SAP_060","457","14:08",18.33551,-64.8478,NA,NA
"61","5/10/2022","SAP_061","481","14:12",18.33551,-64.8477,NA,NA
"62","5/10/2022","SAP_062","481","14:12",18.33551,-64.8477,NA,NA
"63","5/10/2022","SAP_063","359","14:17",18.33541,-64.8476,NA,NA
"64","5/10/2022","SAP_064","359","14:17",18.33541,-64.8476,NA,NA
"65","5/10/2022","SAP_065","427","14:24",18.33533,-64.8478,NA,NA
