Date,VialID,Tag #,Bag #,Time Collected,Species,Collector,Location,GPS time point (UTC),Latitude,Longitude,Preservation,Notes,DNA extract date,DNA extract gel,DNA extract person,Quality
6/3/2021,STX_001,G2458,63,11:47:00 AM,OFRA,Ewen,BUIS1,2021-06-03T15:47:03Z,17.7848116,-64.612039,DMSO,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_002,G2459,45,12:21:00 PM,OFRA,Ewen,BUIS1,2021-06-03T16:21:17Z,17.78483857,-64.61198023,DMSO,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_003,G2412,46,12:15:00 PM,OANN,Sotka,BUIS1,2021-06-03T16:15:04Z,17.78484075,-64.61200336,DMSO,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_004,G2412,46,12:15:00 PM,OANN,Sotka,BUIS1,2021-06-03T16:15:04Z,17.78484075,-64.61200336,Ethanol,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_005,G2500,61,11:51:00 AM,PAST,Ewen,BUIS1,2021-06-03T15:51:02Z,17.78480521,-64.61202884,DMSO,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_006,G2456,49,12:05:00 PM,OANN,Ewen,BUIS1,2021-06-03T16:05:10Z,17.78482173,-64.6121337,DMSO,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_007,G2457,54,12:05:00 PM,PAST,Ewen,BUIS1,2021-06-03T16:05:10Z,17.78482173,-64.6121337,DMSO,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_008,G2422,47,12:25:00 PM,OANN,Sotka,BUIS1,2021-06-03T16:25:02Z,17.78483086,-64.61200939,DMSO,,7/26/21,7.26.21.STX001-008,HANNAH,good
6/3/2021,STX_009,G2421,51,12:19:00 PM,OANN,Sotka,BUIS1,2021-06-03T16:19:15Z,17.78485274,-64.61196296,DMSO,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_010,G2411,48,12:10,OANN,Sotka,BUIS1,2021-06-03T16:10:02Z,17.78482332,-64.61214225,DMSO,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_011,G2411,48,12:10,OANN,Sotka,BUIS1,2021-06-03T16:10:02Z,17.78482332,-64.61214225,Ethanol,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_012,G2403,53,12:05:00 PM,PAST,Sotka,BUIS1,2021-06-03T16:05:10Z,17.78482173,-64.6121337,Ethanol,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_013,G2403,53,12:05:00 PM,PAST,Sotka,BUIS1,2021-06-03T16:05:10Z,17.78482173,-64.6121337,Ethanol,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_014,G2467,33,2:02:00 PM,APAL,Ewen,BUIS1,2021-06-03T18:02:01Z,17.78508659,-64.61179297,Ethanol,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_015,G2467,33,2:02:00 PM,APAL,Ewen,BUIS1,2021-06-03T18:02:01Z,17.78508659,-64.61179297,Ethanol,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_016,?,38,?,NA,?,BUIS1,,,,Ethanol,,7/27/21,7.27.21.STX009-016,HANNAH,good
6/3/2021,STX_017,G2468,32,2:15:00 PM,DEND,Ewen,BUIS1,2021-06-03T18:15:02Z,17.78514963,-64.61173765,Ethanol,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_018,G2468,32,2:15:00 PM,DEND,Ewen,BUIS1,2021-06-03T18:15:02Z,17.78514963,-64.61173765,Ethanol,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_019,G2460,41,1:33:00 PM,APAL,Ewen,BUIS1,2021-06-03T17:33:04Z,17.7850493,-64.61212959,Ethanol,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_020,G2460,41,1:33:00 PM,APAL,Ewen,BUIS1,2021-06-03T17:33:04Z,17.7850493,-64.61212959,Ethanol,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_021,G2492,31,1:41:00 PM,APAL,Ewen,BUIS1,2021-06-03T17:41:05Z,17.78507008,-64.61202876,Ethanol,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_022,G2492,31,1:41:00 PM,APAL,Ewen,BUIS1,2021-06-03T17:41:05Z,17.78507008,-64.61202876,Ethanol,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_023,G2405,204,1:45:00 PM,APAL,Sotka,BUIS1,2021-06-03T17:45:05Z,17.78511912,-64.61197511,DMSO,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_024,G2430,203,1:50:00 PM,PSTR,Sotka,BUIS1,2021-06-03T17:50:03Z,17.78513932,-64.61201292,DMSO,,7/28/21,8.2.21.STX017-024,HANNAH,good
6/3/2021,STX_025,G2423,209,2:24:00 PM,PSTR,Sotka,BUIS1,2021-06-03T18:24:03Z,17.78520118,-64.61165023,DMSO,L,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_026,G2423,206,2:24:00 PM,PSTR,Sotka,BUIS1,2021-06-03T18:24:03Z,17.78520118,-64.61165023,DMSO,R,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_027,G2415,208,2:17:00 PM,PSTR,Sotka,BUIS1,2021-06-03T18:17:08Z,17.7851477,-64.61174109,DMSO,,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_028,G62414,205,2:13:00 PM,APAL,Sotka,BUIS1,2021-06-03T18:13:06Z,17.78514267,-64.61172961,DMSO,A,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_029,G2424,206,2:24:00 PM,PSTR,Sotka,BUIS1,2021-06-03T18:24:03Z,17.78520118,-64.61165023,DMSO,R,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_030,?,201?,?,PSTR,Sotka,BUIS1,,,,DMSO,A,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_031,G2413,207,2:06:00 PM,PSTR,Sotka,BUIS1,2021-06-03T18:06:11Z,17.78516471,-64.61177713,DMSO,R,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_032,G2419,210,2:24:00 PM,APAL,Sotka,BUIS1,2021-06-03T18:24:03Z,17.78520118,-64.61165023,DMSO,,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_033,?,?,?,APAL,Sotka,BUIS1,,,,DMSO,,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_034,?,?,?,APAL,Sotka,BUIS1,,,,DMSO,,8/2/21,8.4.21.STX025-034,HANNAH,good
6/3/2021,STX_035,G2473,39,1:35:00 PM,OANN,Ewen,BUIS1,2021-06-03T17:35:13Z,17.78504653,-64.61212163,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_036,G2497,36,2:30:00 PM,APAL,Ewen,BUIS1,2021-06-03T18:30:03Z,17.78530025,-64.61158066,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_037,?,40,?,APAL,Ewen,BUIS1,,,,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_038,G2476,34,2:21:00 PM,DEND,Ewen,BUIS1,2021-06-03T18:21:01Z,17.78515968,-64.61174067,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_039,G2466,42,1:29:00 PM,APAL,Ewen,BUIS1,2021-06-03T17:29:07Z,17.78502909,-64.61211015,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_040,G2489,37,2:25:00 PM,APAL,Ewen,BUIS1,2021-06-03T18:25:09Z,17.78520352,-64.61165316,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_041,G2460,55,1:33:00 PM,APAL,Ewen,BUIS1,2021-06-03T17:33:04Z,17.7850493,-64.61212959,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_042,G2409,62,11:49:00 AM,OFAV,Sotka,BUIS1,2021-06-03T15:49:09Z,17.7848141,-64.61203488,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_043,G2401,57,11:58:00 AM,OANN,Sotka,BUIS1,2021-06-03T15:58:08Z,17.78481477,-64.61202733,DMSO,,8/3/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_044,G2408,59,11:53:00 AM,PAST,Sotka,BUIS1,2021-06-03T15:53:01Z,17.78481552,-64.61202406,DMSO,,8/3/21,8.5.21.STX044-056,HANNAH,good
6/3/2021,STX_045,G2410,52,11:39:00 AM,OFAV,Sotka,BUIS1,2021-06-03T15:39:05Z,17.78481158,-64.61204401,DMSO,Gave 50mL vial to Dr. Janech after making an extraction,8/4/21,8.4.21.STX035-43&45,HANNAH,good
6/3/2021,STX_046,G2420,64,11:43:00 AM,PAST,Sotka,BUIS1,2021-06-03T15:43:14Z,17.78480287,-64.61203773,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/3/2021,STX_047,G2461,56,11:59:00 AM,OFRA,Ewen,BUIS1,2021-06-03T15:59:11Z,17.78480689,-64.6120451,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/3/2021,STX_048,G2462,58,11:55:00 AM,OANN,Ewen,BUIS1,2021-06-03T15:55:08Z,17.78481854,-64.61202876,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/3/2021,STX_049,G2476,50,12:14:00 PM,PAST,Ewen,BUIS1,2021-06-03T16:14:13Z,17.78484528,-64.61199741,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_050,G2474,115,2:24:00 PM,PAST,Ewen,BUIS2,2021-06-04T18:24:06Z,17.78976914,-64.61181527,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_051,G2063,56,2:52:00 PM,APAL,Sotka,BUIS2,2021-06-04T18:52:09Z,17.79022462,-64.61159038,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_052,G2063,56,2:52:00 PM,APAL,Sotka,BUIS2,2021-06-04T18:52:09Z,17.79022462,-64.61159038,Ethanol,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_053,G2439,67,2:06:00 PM,PSTR,Sotka,BUIS2,2021-06-04T18:06:12Z,17.78944627,-64.61197637,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_054,G2058,72,11:57:00 AM,OFRA,Ewen,BUIS2,2021-06-04T15:57:06Z,17.79064338,-64.6137328,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_055,G2062,64,2:18:00 PM,PSTR,Sotka,BUIS2,2021-06-04T18:18:08Z,17.78969698,-64.61187319,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_056,G2446,63,2:21:00 PM,PAST,Sotka,BUIS2,2021-06-04T18:21:09Z,17.78975112,-64.61180991,DMSO,,8/4/21,8.5.21.STX044-056,HANNAH,good
6/4/2021,STX_057,G2447,58,2:38:00 PM,OANN,Sotka,BUIS2,2021-06-04T18:38:08Z,17.78988498,-64.61181234,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_058,G2067,109,3:09:00 PM,PAST,Sotka,BUIS2,2021-06-04T19:09:02Z,17.79035127,-64.61291372,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_059,G2480,102,2:11:00 PM,ACER,Sotka,BUIS2,2021-06-04T18:11:05Z,17.78962238,-64.61192826,DMSO,A. prolifera?,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_060,G2449,66,2:06:00 PM,PSTR,Sotka,BUIS2,2021-06-04T18:06:12Z,17.78944627,-64.61197637,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_061,G2424,61,2:29:00 PM,PSTR,Sotka,BUIS2,2021-06-04T18:29:10Z,17.78985514,-64.61177219,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_062,G2089,116,2:02:00 PM,ACER,Sotka,BUIS2,2021-06-04T18:02:07Z,17.78935466,-64.61200587,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_063,G2090,31,11:18:00 AM,OFAV,Ewen,BUIS2,2021-06-04T15:18:13Z,17.79019444,-64.61367765,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_064,G2407,76,10:59:00 AM,OFAV,Sotka,BUIS2,2021-06-04T14:59:10Z,17.78998783,-64.61359936,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_065,G2100,69,12:01:00 PM,OFAV,Sotka,BUIS2,2021-06-04T16:01:07Z,17.79070054,-64.61389767,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_066,G2470,36,11:13:00 AM,PAST,Ewen,BUIS2,2021-06-04T15:13:08Z,17.79014608,-64.61367572,DMSO,,8/5/21,8.10.21STX057-66,HANNAH,good
6/4/2021,STX_067,G2425,55,2:58:00 PM,OFAV,Sotka,BUIS2,2021-06-04T18:58:11Z,17.79023015,-64.6117887,DMSO,,8/10/21,8.12.21STX067-88,HANNAH,good/ fainter
6/4/2021,STX_068,G2076,52,11:07:00 AM,PSTR,Ewen,BUIS2,2021-06-04T15:07:02Z,17.79004768,-64.61366097,DMSO,,8/10/21,8.12.21STX067-88,HANNAH,good/ fainter
6/4/2021,STX_069,G2450,62,2:24:00 PM,PSTR,Sotka,BUIS2,2021-06-04T18:24:06Z,17.78976914,-64.61181527,DMSO,,8/10/21,8.12.21STX067-88,HANNAH,good/ fainter
6/4/2021,STX_070,G2490,94,2:28:00 PM,OANN,Ewen,BUIS2,2021-06-04T18:28:12Z,17.78984919,-64.61176372,DMSO,,8/10/21,8.12.21STX067-88,HANNAH,may need to redo
6/4/2021,STX_071,G2475,114,2:47:00 PM,OANN,Ewen,BUIS2,2021-06-04T18:47:00Z,17.79008732,-64.61145082,DMSO,,8/10/21,8.12.21STX067-88,HANNAH,may need to  redo
6/4/2021,STX_072,G2437,92,11:57:00 AM,OFRA,Sotka,BUIS2,2021-06-04T15:57:06Z,17.79064338,-64.6137328,DMSO,,8/10/21,8.12.21STX067-88,HANNAH,good/ fainter
6/4/2021,STX_073,G2417,77,11:24:00 AM,OFRA,Sotka,BUIS2,2021-06-04T15:24:09Z,17.79036367,-64.61372534,DMSO,,8/10/21,8.12.21STX067-88,HANNAH,good/ fainter
